nodes,train_loss,val_loss,train_metric,val_metric
1,0.2192,0.227851,0.804775,0.804775
2,0.219201,0.227317,0.80618,0.80618
3,0.220013,0.229624,0.803371,0.803371
4,0.219403,0.228237,0.80618,0.80618
5,0.219613,0.229393,0.803371,0.803371
6,0.219807,0.227842,0.804775,0.804775
7,0.219716,0.227156,0.801966,0.801966
8,0.219417,0.228057,0.808989,0.808989
9,0.219646,0.228959,0.811798,0.811798
10,0.219255,0.227016,0.800562,0.800562
11,0.219726,0.22518,0.80618,0.80618
12,0.219703,0.229304,0.803371,0.803371
13,0.219762,0.227667,0.804775,0.804775
14,0.219766,0.228143,0.80618,0.80618
15,0.220436,0.233244,0.803371,0.803371
16,0.219918,0.228089,0.799157,0.799157
17,0.220019,0.229702,0.804775,0.804775
18,0.220739,0.226434,0.799157,0.799157
19,0.219761,0.226431,0.800562,0.800562
20,0.219498,0.230115,0.804775,0.804775
21,0.21933,0.227245,0.804775,0.804775
22,0.220051,0.228934,0.807584,0.807584
23,0.220022,0.227288,0.811798,0.811798
24,0.22085,0.227752,0.817416,0.817416
25,0.219782,0.227463,0.807584,0.807584
26,0.219872,0.229344,0.80618,0.80618
27,0.220765,0.226651,0.801966,0.801966
28,0.222297,0.229389,0.803371,0.803371
29,0.220281,0.232088,0.80618,0.80618
30,0.220004,0.227654,0.804775,0.804775
31,0.219715,0.227779,0.803371,0.803371
32,0.219522,0.229345,0.80618,0.80618
33,0.219312,0.228141,0.804775,0.804775
34,0.219829,0.229627,0.801966,0.801966
35,0.219796,0.226797,0.80618,0.80618
36,0.219471,0.227388,0.811798,0.811798
37,0.219461,0.226714,0.811798,0.811798
38,0.21947,0.227907,0.810393,0.810393
39,0.21962,0.227156,0.808989,0.808989
40,0.219907,0.22885,0.810393,0.810393
41,0.221,0.226285,0.800562,0.800562
42,0.220881,0.225012,0.793539,0.793539
43,0.219565,0.228141,0.810393,0.810393
44,0.220332,0.229311,0.800562,0.800562
45,0.219261,0.227712,0.80618,0.80618
46,0.221945,0.228811,0.814607,0.814607
47,0.219467,0.228206,0.804775,0.804775
48,0.220317,0.227282,0.807584,0.807584
49,0.220418,0.227646,0.814607,0.814607
50,0.21994,0.225794,0.80618,0.80618
