epoch,train_loss,val_loss,train_metric,val_metric
0,0.278386,0.272638,0.716292,0.716292
1,0.241435,0.239658,0.79073,0.79073
2,0.216346,0.223876,0.814607,0.814607
3,0.207572,0.224383,0.817416,0.817416
4,0.205291,0.227455,0.81882,0.81882
5,0.200586,0.219897,0.820225,0.820225
6,0.197303,0.219552,0.83427,0.83427
7,0.194291,0.217312,0.832865,0.832865
8,0.192561,0.213009,0.838483,0.838483
9,0.193323,0.222322,0.823034,0.823034
10,0.188283,0.217695,0.841292,0.841292
11,0.186491,0.215061,0.852528,0.852528
12,0.1826,0.214301,0.851124,0.851124
13,0.18734,0.221449,0.852528,0.852528
14,0.180045,0.215926,0.851124,0.851124
15,0.182201,0.223063,0.842697,0.842697
16,0.18362,0.224497,0.851124,0.851124
17,0.18235,0.219349,0.848315,0.848315
18,0.179981,0.225889,0.844101,0.844101
